ID,Category,Gender,Urgency,Duration,Amount,Locality
494,OldAge,Male,Immediate,Quarterly,9000,Rural
495,FoodForNeed,Male,Oneweek,Quarterly,10000,Suburban
496,OldAge,Female,Twoweeks,Quarterly,11000,Urban
497,FoodForNeed,Female,Immediate,Quarterly,19000,Rural
498,Medical,Female,Immediate,Annually,5000,Suburban
499,Medical,Female,Immediate,Monthly,13000,Suburban
500,DisasterRF,Female,Oneweek,Annually,12000,Suburban
501,DisasterRF,Male,Immediate,Annually,18000,Urban
502,Education,Male,Immediate,Monthly,3000,Rural
503,DisasterRF,Male,Twoweeks,Quarterly,18000,Rural
504,Women,Female,Immediate,Annually,15000,Urban
505,Women,Male,Twoweeks,Quarterly,20000,Rural
506,OldAge,Male,Oneweek,Annually,9000,Suburban
507,FoodForNeed,Female,Immediate,Quarterly,2000,Rural
508,Education,Male,Twoweeks,Monthly,16000,Urban
509,Medical,Male,Oneweek,Annually,6000,Urban
510,Medical,Female,Twoweeks,Monthly,10000,Urban
511,DisasterRF,Male,Twoweeks,Annually,1000,Urban
512,DisasterRF,Female,Twoweeks,Monthly,1000,Suburban
513,Education,Female,Immediate,Annually,8000,Urban
514,DisasterRF,Male,Twoweeks,Monthly,1000,Suburban
515,Women,Female,Immediate,Quarterly,4000,Rural
516,Women,Male,Immediate,Annually,15000,Urban
517,OldAge,Male,Twoweeks,Monthly,17000,Suburban
518,FoodForNeed,Male,Oneweek,Quarterly,14000,Rural
519,OldAge,Female,Twoweeks,Monthly,17000,Rural
520,FoodForNeed,Female,Immediate,Annually,10000,Suburban
521,Medical,Female,Twoweeks,Annually,2000,Suburban
522,Medical,Female,Twoweeks,Monthly,4000,Suburban
523,DisasterRF,Female,Oneweek,Quarterly,6000,Suburban
524,DisasterRF,Male,Immediate,Quarterly,16000,Suburban
525,Education,Male,Immediate,Annually,20000,Suburban
526,DisasterRF,Male,Immediate,Annually,15000,Rural
527,Women,Female,Oneweek,Annually,15000,Suburban
528,Women,Male,Immediate,Monthly,18000,Urban
529,OldAge,Male,Immediate,Monthly,3000,Urban
530,FoodForNeed,Female,Immediate,Monthly,1000,Suburban
531,OldAge,Male,Oneweek,Monthly,8000,Urban
532,FoodForNeed,Male,Twoweeks,Monthly,4000,Suburban
533,Medical,Female,Twoweeks,Quarterly,10000,Urban
534,Medical,Female,Immediate,Monthly,20000,Rural
535,DisasterRF,Male,Twoweeks,Annually,10000,Rural
536,DisasterRF,Male,Immediate,Monthly,16000,Rural
537,Education,Female,Oneweek,Quarterly,16000,Rural
538,DisasterRF,Female,Immediate,Monthly,4000,Urban
539,Women,Female,Immediate,Annually,15000,Urban
540,Women,Female,Twoweeks,Monthly,18000,Urban
541,OldAge,Female,Oneweek,Annually,11000,Suburban
542,FoodForNeed,Male,Twoweeks,Annually,5000,Rural
543,Education,Female,Immediate,Quarterly,9000,Rural
544,Women,Male,Immediate,Monthly,16000,Rural
545,Women,Male,Immediate,Annually,4000,Urban
546,DisasterRF,Male,Oneweek,Quarterly,2000,Rural
547,DisasterRF,Female,Twoweeks,Monthly,6000,Rural
548,Education,Female,Immediate,Annually,20000,Rural
549,DisasterRF,Female,Twoweeks,Quarterly,20000,Rural
550,Women,Female,Immediate,Annually,18000,Suburban
551,Women,Female,Oneweek,Annually,4000,Rural
552,OldAge,Male,Immediate,Monthly,13000,Suburban
553,FoodForNeed,Male,Immediate,Annually,20000,Urban
554,OldAge,Male,Twoweeks,Quarterly,19000,Rural
555,FoodForNeed,Female,Twoweeks,Annually,1000,Suburban
556,OldAge,Female,Immediate,Monthly,6000,Suburban
557,FoodForNeed,Male,Oneweek,Annually,10000,Urban
558,Education,Male,Immediate,Quarterly,2000,Urban
559,OldAge,Female,Twoweeks,Annually,20000,Suburban
560,FoodForNeed,Female,Twoweeks,Annually,10000,Suburban
561,Medical,Male,Immediate,Monthly,1000,Suburban
562,Medical,Female,Oneweek,Annually,2000,Urban
563,DisasterRF,Male,Twoweeks,Quarterly,15000,Rural
564,DisasterRF,Male,Twoweeks,Annually,19000,Urban
565,Education,Male,Immediate,Quarterly,12000,Suburban
566,DisasterRF,Female,Immediate,Annually,15000,Rural
567,Women,Female,Oneweek,Monthly,2000,Suburban
568,Women,Female,Immediate,Annually,19000,Suburban
569,OldAge,Female,Twoweeks,Quarterly,9000,Rural
570,FoodForNeed,Female,Twoweeks,Annually,13000,Rural
571,OldAge,Male,Twoweeks,Quarterly,20000,Urban
572,FoodForNeed,Male,Oneweek,Annually,2000,Suburban
573,Medical,Male,Immediate,Annually,7000,Suburban
574,Medical,Female,Immediate,Quarterly,10000,Suburban
575,DisasterRF,Female,Twoweeks,Annually,13000,Rural
576,DisasterRF,Male,Oneweek,Annually,18000,Urban
577,Education,Female,Oneweek,Quarterly,15000,Urban
578,DisasterRF,Female,Oneweek,Quarterly,10000,Rural
579,Women,Male,Oneweek,Annually,16000,Urban
580,Women,Female,Twoweeks,Monthly,13000,Suburban
581,OldAge,Female,Immediate,Quarterly,10000,Urban
582,FoodForNeed,Male,Oneweek,Annually,1000,Rural
583,Education,Male,Twoweeks,Monthly,13000,Urban
584,OldAge,Female,Twoweeks,Monthly,17000,Suburban
585,FoodForNeed,Female,Immediate,Monthly,15000,Suburban
586,OldAge,Female,Oneweek,Annually,2000,Rural
587,FoodForNeed,Female,Twoweeks,Quarterly,15000,Urban
588,Education,Female,Immediate,Quarterly,20000,Suburban
589,Medical,Male,Twoweeks,Annually,14000,Urban
590,Medical,Male,Oneweek,Monthly,5000,Rural
591,DisasterRF,Male,Immediate,Monthly,3000,Suburban
592,DisasterRF,Female,Twoweeks,Annually,7000,Suburban
593,Education,Male,Twoweeks,Quarterly,18000,Rural
594,DisasterRF,Female,Immediate,Annually,4000,Urban
595,Women,Female,Oneweek,Monthly,15000,Suburban
596,Women,Male,Immediate,Quarterly,17000,Urban
597,OldAge,Female,Immediate,Quarterly,5000,Rural
598,FoodForNeed,Female,Immediate,Quarterly,13000,Rural
599,FoodForNeed,Male,Oneweek,Monthly,7000,Rural
600,FoodForNeed,Male,Immediate,Monthly,4000,Urban
